Timestamp,Quaternion_W,Quaternion_X,Quaternion_Y,Quaternion_Z
2024-01-03 23:53:44.904,14557,64,-37,7518
2024-01-03 23:53:44.929,14557,64,-37,7518
2024-01-03 23:53:44.956,14557,64,-37,7518
2024-01-03 23:53:44.994,14557,64,-37,7518
2024-01-03 23:53:45.011,14557,64,-37,7518
2024-01-03 23:53:45.065,14557,64,-37,7518
2024-01-03 23:53:45.084,14557,64,-37,7518
2024-01-03 23:53:45.091,14557,64,-37,7518
2024-01-03 23:53:45.118,14557,64,-37,7518
2024-01-03 23:53:45.151,14557,64,-37,7518
2024-01-03 23:53:45.173,14557,64,-37,7518
2024-01-03 23:53:45.204,14557,64,-37,7518
2024-01-03 23:53:45.229,14557,64,-37,7518
2024-01-03 23:53:45.255,14557,64,-37,7518
2024-01-03 23:53:45.291,14557,64,-37,7518
2024-01-03 23:53:45.315,14557,64,-37,7518
2024-01-03 23:53:45.341,14557,64,-37,7518
2024-01-03 23:53:45.376,14557,64,-37,7518
2024-01-03 23:53:45.393,14557,64,-37,7518
2024-01-03 23:53:45.420,14557,64,-37,7518
2024-01-03 23:53:45.447,14557,64,-37,7518
2024-01-03 23:53:45.476,14557,64,-37,7518
2024-01-03 23:53:45.509,14557,64,-37,7518
2024-01-03 23:53:45.529,14557,64,-37,7518
2024-01-03 23:53:45.559,14557,64,-37,7518
2024-01-03 23:53:45.587,14557,64,-37,7518
2024-01-03 23:53:45.611,14557,64,-37,7518
2024-01-03 23:53:45.674,14557,64,-37,7518
2024-01-03 23:53:45.680,14557,64,-37,7518
2024-01-03 23:53:45.697,14557,64,-37,7518
2024-01-03 23:53:45.721,14557,64,-37,7518
2024-01-03 23:53:45.747,14557,64,-37,7518
2024-01-03 23:53:45.790,14557,64,-37,7518
2024-01-03 23:53:45.801,14557,64,-37,7518
2024-01-03 23:53:45.830,14557,64,-37,7518
2024-01-03 23:53:45.865,14557,64,-37,7518
2024-01-03 23:53:45.886,14557,64,-37,7518
2024-01-03 23:53:45.914,14557,64,-37,7518
2024-01-03 23:53:45.942,14557,64,-37,7518
2024-01-03 23:53:45.976,14557,64,-37,7518
2024-01-03 23:53:45.994,14557,64,-37,7518
2024-01-03 23:53:46.026,14557,64,-37,7518
2024-01-03 23:53:46.062,14557,64,-37,7518
2024-01-03 23:53:46.079,14557,64,-37,7518
2024-01-03 23:53:46.125,14557,64,-37,7518
2024-01-03 23:53:46.136,14557,64,-37,7518
2024-01-03 23:53:46.161,14557,64,-37,7518
2024-01-03 23:53:46.193,14557,64,-37,7518
2024-01-03 23:53:46.243,14557,64,-37,7518
2024-01-03 23:53:46.286,14557,64,-37,7518
2024-01-03 23:53:46.291,14557,64,-37,7518
2024-01-03 23:53:46.301,14557,64,-37,7518
2024-01-03 23:53:46.333,14557,64,-37,7518
2024-01-03 23:53:46.358,14557,64,-37,7518
2024-01-03 23:53:46.379,14557,64,-37,7518
2024-01-03 23:53:46.406,14557,64,-37,7518
2024-01-03 23:53:46.444,14557,64,-37,7518
2024-01-03 23:53:46.494,14557,64,-37,7518
2024-01-03 23:53:46.509,14557,64,-37,7518
2024-01-03 23:53:46.518,14557,64,-37,7518
2024-01-03 23:53:46.561,14557,64,-37,7518
2024-01-03 23:53:46.580,14557,64,-37,7518
2024-01-03 23:53:46.602,14557,64,-37,7518
2024-01-03 23:53:46.633,14557,64,-37,7518
