Timestamp,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2024-01-03 23:59:13.335,-0.629634,-0.643503,67.692764,0.12,0.14,9.58,0.062,0.0,-0.125,4.375,11.188,-32.188
2024-01-03 23:59:13.434,-0.618337,-0.641638,71.254665,0.11,0.15,9.67,0.0,0.0,0.0,3.562,11.188,-31.25
2024-01-03 23:59:13.448,-0.590399,-0.639334,71.236969,0.1,0.01,9.62,-0.062,0.25,-0.188,3.562,11.188,-31.25
2024-01-03 23:59:13.546,-0.605498,-0.63414,67.682268,0.09,0.15,9.63,-0.062,0.0,0.0,4.375,11.188,-32.5
2024-01-03 23:59:13.559,-0.59596,-0.632058,68.607102,0.1,0.07,9.67,0.062,-0.062,0.062,4.0,10.75,-30.562
2024-01-03 23:59:13.572,-0.587051,-0.633279,69.903184,0.11,0.07,9.6,0.0,0.125,0.0,4.0,11.562,-31.75
2024-01-03 23:59:13.662,-0.59066,-0.637816,64.804524,0.1,0.11,9.61,0.062,-0.062,0.0,5.062,11.188,-32.188
2024-01-03 23:59:13.731,-0.579129,-0.633283,69.020369,0.08,0.06,9.61,0.0,-0.062,0.312,4.375,12.0,-31.75
2024-01-03 23:59:13.745,-0.590782,-0.641511,73.12109,0.12,0.1,9.66,-0.062,0.188,0.0,3.25,11.562,-32.188
2024-01-03 23:59:13.767,-0.591603,-0.634172,73.15514,0.11,0.14,9.68,0.188,-0.312,-0.062,3.25,11.562,-31.75
2024-01-03 23:59:13.800,-0.585674,-0.629071,73.163125,0.09,0.08,9.69,0.0,0.0,-0.062,3.25,11.562,-31.75
2024-01-03 23:59:13.896,-0.586554,-0.625577,72.737113,0.08,0.09,9.62,0.062,-0.25,0.0,3.562,12.25,-31.75
2024-01-03 23:59:13.973,-0.599129,-0.613612,66.496177,0.08,0.15,9.67,0.0,-0.188,0.0,4.375,10.5,-31.25
2024-01-03 23:59:13.985,-0.583889,-0.62096,69.377485,0.09,0.09,9.67,0.062,-0.188,-0.125,4.0,11.188,-30.188
2024-01-03 23:59:14.015,-0.619375,-0.606558,66.534661,0.08,0.17,9.7,0.0,0.188,-0.188,4.375,10.5,-31.25
2024-01-03 23:59:14.101,-0.621231,-0.603087,73.276915,0.09,0.11,9.6,0.0,0.188,0.062,3.25,11.562,-31.0
2024-01-03 23:59:14.114,-0.619917,-0.60268,65.401857,0.1,0.1,9.63,-0.062,0.0,-0.188,4.75,10.75,-31.0
2024-01-03 23:59:14.169,-0.618576,-0.605166,70.631083,0.11,0.1,9.66,0.062,0.062,-0.062,4.0,12.0,-32.5
2024-01-03 23:59:14.211,-0.598615,-0.606838,69.340992,0.1,0.06,9.65,0.125,0.0,-0.125,4.0,11.188,-33.0
2024-01-03 23:59:14.262,-0.592507,-0.603297,70.63517,0.09,0.08,9.62,0.062,0.312,0.0,4.0,12.0,-31.75
2024-01-03 23:59:14.342,-0.592753,-0.59703,72.494491,0.08,0.1,9.59,0.0,0.0,0.0,3.562,12.0,-31.25
2024-01-03 23:59:14.354,-0.587078,-0.599406,73.212009,0.1,0.1,9.7,0.0,0.0,-0.125,3.25,11.562,-32.5
2024-01-03 23:59:14.431,-0.584525,-0.599214,70.638,0.1,0.09,9.62,0.0,0.062,0.0,4.0,12.0,-31.75
2024-01-03 23:59:14.443,-0.593969,-0.599001,66.987145,0.1,0.13,9.63,0.0,0.062,0.0,4.375,10.75,-31.75
2024-01-03 23:59:14.492,-0.591155,-0.586974,72.732635,0.06,0.09,9.59,-0.062,0.0,0.0,3.25,11.188,-32.5
2024-01-03 23:59:14.511,-0.591376,-0.581448,70.684087,0.08,0.1,9.62,0.125,-0.125,0.0,4.0,12.0,-31.75
2024-01-03 23:59:14.640,-0.594553,-0.583225,68.447482,0.1,0.1,9.65,-0.062,0.062,0.062,4.375,11.562,-31.75
2024-01-03 23:59:14.652,-0.594597,-0.582672,72.501441,0.1,0.11,9.66,0.0,-0.062,-0.188,3.562,12.0,-32.188
2024-01-03 23:59:14.673,-0.594635,-0.580892,69.435931,0.09,0.1,9.61,-0.062,0.125,0.125,4.0,11.188,-31.75
2024-01-03 23:59:14.717,-0.591704,-0.581626,68.65633,0.1,0.09,9.62,-0.062,-0.062,0.125,4.0,10.75,-33.0
2024-01-03 23:59:14.843,-0.594991,-0.580237,65.437081,0.11,0.11,9.64,0.062,0.125,-0.062,4.75,10.75,-30.562
2024-01-03 23:59:14.855,-0.594896,-0.571985,66.240837,0.07,0.1,9.66,-0.062,0.188,0.062,4.75,11.188,-32.5
2024-01-03 23:59:14.868,-0.594837,-0.573071,72.771195,0.1,0.1,9.65,-0.062,0.062,0.0,3.25,11.188,-32.5
2024-01-03 23:59:14.911,-0.585919,-0.571191,72.768839,0.09,0.07,9.63,-0.062,0.25,0.0,3.25,11.188,-32.5
2024-01-03 23:59:14.984,-0.589345,-0.572379,70.008115,0.1,0.11,9.63,0.062,0.188,-0.062,4.0,11.562,-33.25
2024-01-03 23:59:14.996,-0.592634,-0.573538,69.431744,0.1,0.11,9.62,-0.062,0.125,0.0,4.0,11.188,-32.5
2024-01-03 23:59:15.048,-0.58972,-0.56861,72.884014,0.08,0.09,9.65,0.062,-0.25,0.062,3.562,12.25,-31.25
